price,area,bedRoom,bathroom,balcony,floorNum,log_price,others,pooja room,servant room,store room,study room,Environment,Lifestyle,Connectivity,Safety,Wardrobe,Fan,Exhaust Fan,Geyser,Light,Modular Kitchen,AC,Chimney,Bed,Curtains,Dining Table,Microwave,Fridge,Sofa,Stove,TV,Washing Machine,Water Purifier,facing_East,facing_North,facing_North-East,facing_North-West,facing_South,facing_South-East,facing_South-West,facing_West,agePossession_0 to 1 Year Old,agePossession_1 to 5 Year Old,agePossession_10+ Year Old,agePossession_5 to 10 Year Old,agePossession_By 2024,agePossession_By 2027,agePossession_Dec 2023,agePossession_Dec 2024,agePossession_Jan 2024,agePossession_Jun 2024,agePossession_Oct 2023,agePossession_Oct 2024,agePossession_Under Construction,agePossession_Within 3 months,agePossession_Within 6 months
10.0,2700.0,5,6,3,3.0,2.3978952727983707,0,0,1,1,0,5,5,5,5,0,7,1,6,25,0,0,1,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9.0,3159.0,10,10,3,3.0,2.302585092994046,0,1,0,0,0,5,5,5,5,5,7,1,6,20,0,5,1,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10.0,818.0,4,4,4,1.0,2.3978952727983707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.95,1440.0,2,2,2,2.0,1.0818051703517284,0,0,0,0,0,4,4,4,4,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3.3,1728.0,4,4,2,3.0,1.4586150226995167,0,0,0,1,0,4,4,4,4,4,6,1,4,14,1,0,1,0,0,0,0,0,0,1,0,0,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13.0,2700.0,12,16,4,4.0,2.6390573296152584,0,1,1,1,1,5,5,5,5,12,36,1,16,43,1,24,1,0,0,0,1,0,0,1,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.2,3240.0,3,3,2,1.0,2.1041341542702074,0,0,0,1,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6.0,2700.0,4,4,4,3.0,1.9459101490553132,0,0,0,0,1,4,5,5,4,5,10,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9.0,2700.0,5,5,3,3.0,2.302585092994046,0,1,1,1,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5.8,1800.0,5,5,4,2.0,1.916922612182061,0,1,1,1,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.55,754.0,2,1,1,1.0,0.4382549309311553,0,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.49,2700.0,12,12,4,4.0,2.138889000323256,0,1,1,0,1,4,4,5,4,9,8,1,9,11,1,0,1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13.5,2700.0,16,16,4,4.0,2.6741486494265287,1,1,1,0,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11.95,2745.0,12,12,4,4.0,2.5610957881455465,0,0,1,0,0,4,5,5,4,12,25,1,16,26,1,16,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12.39,2700.0,16,18,4,4.0,2.5945081597030812,0,1,1,0,0,4,5,5,4,0,4,1,3,8,1,0,1,0,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.25,1800.0,5,5,3,2.0,1.9810014688665833,0,1,1,0,0,5,5,5,5,5,8,1,5,16,1,0,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.911068783068783,10556.097354497355,5,5,4,3.0,1.4917487801853613,0,1,1,0,1,3,4,4,4,3,5,1,0,15,1,5,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5.4,2610.0,4,5,4,3.0,1.8562979903656263,0,1,1,1,1,5,4,4,4,5,0,0,6,0,1,10,1,0,0,0,0,0,0,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5.75,1935.0,4,4,2,2.0,1.9095425048844386,0,1,1,1,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2.55,1557.0,3,3,2,2.0,1.2669476034873244,0,0,0,0,0,5,5,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5.6,3240.0,8,6,4,2.75978835978836,1.8870696490323797,0,1,1,1,1,5,5,5,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17.0,4500.0,5,8,4,3.0,2.8903717578961645,0,1,1,1,1,0,0,0,0,13,11,1,7,15,1,11,1,5,1,1,1,1,1,1,9,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7.99,6382.0,4,6,3,2.0,2.196112848483529,0,1,1,1,0,5,4,4,3,0,0,1,7,0,1,10,1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.75,1467.0,6,6,3,3.0,1.55814461804655,1,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7.25,2592.0,3,4,2,2.0,2.1102132003465894,0,1,1,1,1,4,4,5,4,4,12,1,4,36,1,6,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
